# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1484268	bitcoin	1	405	0	2	10.9	280679	21150	recent@bitcoin|top@bitcoin	SIGNAL	A Protocol for Zero-Confirmation Bitcoin Payments
1484274	AI	1	228	0	0	10.3	280679	21150	recent@AI|top@AI	SIGNAL	Copirate 365 at DEF CON: Plundering in the Depths of Microsoft Copilot
1484302	AI	1	180	0	3	8.5	1	26309	recent@devs|top@devs|recent@AI	SIGNAL	Treat Agent Output Like Compiler Output
1483697	bitcoin	1	2807	0	19	30.2	74100	9658	recent@bitcoin	HOT	Will you heed my warnings NOW? - Scott Aaronson
1483790	bitcoin	1	1773	0	11	26.1	121700	102	recent@bitcoin	HOT	Summary of "Finding Satoshi.." by my 9 year old
1483878	bitcoin_Mining	1	1300	0	13	20.0	714537	40	recent@bitcoin_Mining|top@bitcoin_Mining	HOT	What's the use of FOSS solomining (e.g. Bitaxe) when the hash rate is so small?
1483902	Stacker_Sports	3	553	0	2	19.3	51481	4000	recent@lightning|top@lightning		Why prediction markets might be skipping the Kentucky Derby
1484245	bitcoin	1	437	0	1	12.1	68821	2320	recent@bitcoin|top@bitcoin		Zabbix monitoring for Electrum servers
1484226	bitcoin	1	384	0	1	12.6	1482441	4	recent@bitcoin|top@bitcoin|recent@bitdevs		Happy 70th Hal Finney !
1483567	bitcoin	1	374	0	2	34.2	74100	9658	recent@bitcoin		Lyn Alden vs Mike Brock: money, commerce, governance, and more
1483615	privacy	1	358	0	0	32.5	303620	5934	recent@privacy		A hacker built a tool to track police officers. Then he tried to warn them
1484018	tech	1	343	0	5	16.5	458256	4589	recent@tech|top@tech		Samsung family pays off record $8bn inheritance tax bill
1483576	bitcoin	1	303	0	2	33.9	1482441	4	recent@bitcoin		Ever thought about adding a passphrase to your main wallet?
1483990	bitcoin	1	282	0	1	17.0	996769	26	recent@bitcoin|top@bitcoin		Bitcoin, Surveillance, and Why Patience Is a Strategy - American Hodl
1483807	bitcoin	1	167	0	0	24.3	68842	576	recent@bitcoin		Hände Weg von Der Spekulationsfrist (Hands off the speculation period)
1483797	bitcoin_beginners	1	147	0	0	25.2	296825	4270	recent@bitcoin_beginners|recent@bitcoin_Mining		In 2010 ArtForz built a Bitcoin mining farm controlled 25% of the entire network
1483999	lightning	1	123	0	1	16.9	699824	148	recent@lightning|top@lightning		Feel the Breez: Stable Balance, Cash App, Club Orange, and more ⚡️
1483850	meta	1	97	0	0	21.5	36151	1461	recent@meta|top@meta		This Day on SN: May 4
1483862	AI	1	90	0	1	20.9	30993	3321	recent@AI|top@AI		The Generation That Grew Up With Algorithms Just Called Bullshit on AI
1484402	AI	1	69	0	0	4.5	1208996	326	recent@AI|top@AI		Meta wants to be the Android of humanoid robots
1483947	AI	1	69	0	0	17.8	280679	21150	recent@AI|top@AI		TradingAgents: Multi-Agents LLM Financial Trading Framework
1483833	bitcoin_beginners	1	57	0	2	22.0	296825	4270	recent@bitcoin_beginners|top@bitcoin_beginners		[Warning] Michael Saylor is promoting Shitcoins
1484002	bitcoin_beginners	1	39	0	1	16.8	375687	3024	recent@bitcoin_beginners|top@bitcoin_beginners		Knowing the truth about Bitcoin is a Superpower 💪🤠⚡
1483613	security	1	36	0	0	32.5	1248037	1650	recent@security|recent@AI		The agent harness belongs outside the sandbox | Hacker News
1484084	math	2	0	0	1	15.3	1248037	1650	recent@bitdevs|top@bitdevs|recent@devs		DAG Workflow Engine | Hacker News
1483994	lightning	1	0	0	0	17.0	263526	324	recent@lightning|top@lightning		Lightning Network Transactions per Second Visualization Comparison
1483811	lightning	1	0	0	0	23.3	263526	324	recent@lightning|top@lightning		MCP server + x402 Discovery Hub. Search for the agent economy w/ 1500+ services
1483963	AI	1	0	0	0	17.5	698001	8992	recent@AI|top@AI		RBD News 5/4/26 https://youtu.be/KAyckXih7tU
1483911	AI	1	0	0	0	18.9	966763	147	recent@AI|top@AI		⚙️ Exploring Bitcoin Agents: The Intersection of AI and Sovereign Money
